"tempos","tratamento.evidencia","tratamentos.comparado","value","Std.Error","DF","t.value","p.value","significancia"
"0","QTET","AGET",1.04686520256598e-15,0.711141387541022,137,1.47209151500213e-15,0.999999999999999,"SN"
"1","QTET","AGET",-56.2590777475752,0.711141387541022,137,-79.1109598361407,3.1635293255212e-116,"*"
"2","QTET","AGET",-74.3555733840054,0.711141387541022,137,-104.558073382723,1.50777546139238e-132,"*"
"3","QTET","AGET",-57.9351728072702,0.711141387541022,137,-81.4678681655667,6.15975138331607e-118,"*"
"4","QTET","AGET",-21.8502773972444,0.711141387541022,137,-30.7256444077851,2.56014090882832e-63,"*"
"6","QTET","AGET",6.19846077825171,0.711141387541022,137,8.71621436587272,8.44050166539675e-15,"*"
"8","QTET","AGET",8.18771288573252,0.711141387541022,137,11.5134810449493,7.06594162683874e-22,"*"
"12","QTET","AGET",10.7252693683659,0.711141387541022,137,15.0817679244513,6.69364731329055e-31,"*"
"16","QTET","AGET",13.1462235424384,0.711141387541022,137,18.4860897885515,4.82562130629092e-39,"*"
"0","QTET","CMET",-5.94898270651032e-15,0.711141387541022,137,-8.36540076380684e-15,0.999999999999993,"SN"
"1","QTET","CMET",-52.0753826701744,0.711141387541022,137,-73.2278891125155,9.82558213363681e-112,"*"
"2","QTET","CMET",-65.4006219588901,0.711141387541022,137,-91.9657090765477,5.09107162786792e-125,"*"
"3","QTET","CMET",-51.2258809898319,0.711141387541022,137,-72.033328234432,8.83808299614927e-111,"*"
"4","QTET","CMET",-30.5183145374853,0.711141387541022,137,-42.9145526784924,2.58277756192079e-81,"*"
"6","QTET","CMET",9.2328057605035,0.711141387541022,137,12.9830803300995,1.24642499373179e-25,"*"
"8","QTET","CMET",13.536166779592,0.711141387541022,137,19.0344241197904,2.68099559148394e-40,"*"
"12","QTET","CMET",15.968490041485,0.711141387541022,137,22.4547330829678,9.3269964122838e-48,"*"
"16","QTET","CMET",17.3196812171796,0.711141387541022,137,24.3547647776027,1.25497954032867e-51,"*"
"0","QTET","CPET",6.58121422144892e-16,0.711141387541022,137,9.25443847981535e-16,0.999999999999999,"SN"
"1","QTET","CPET",-37.911974582373,0.711141387541022,137,-53.3114444561647,1.71115532768207e-93,"*"
"2","QTET","CPET",-13.3708939918247,0.711141387541022,137,-18.8020191569196,9.08505253991807e-40,"*"
"3","QTET","CPET",2.0815627935015,0.711141387541022,137,2.92707305462717,0.0040075320828981,"*"
"4","QTET","CPET",6.5245864730631,0.711141387541022,137,9.1748090989666,6.14142246211365e-16,"*"
"6","QTET","CPET",11.6511469262843,0.711141387541022,137,16.383727807731,4.4068190977037e-34,"*"
"8","QTET","CPET",9.23598987690992,0.711141387541022,137,12.9875578031621,1.21417601902376e-25,"*"
"12","QTET","CPET",10.2629412248385,0.711141387541022,137,14.4316466523282,2.76560101812096e-29,"*"
"16","QTET","CPET",11.9753174410583,0.711141387541022,137,16.8395731859546,3.54183620766033e-35,"*"
"0","QTET","CVET",-7.10538508867494e-16,0.711141387541022,137,-9.99152237959862e-16,0.999999999999999,"SN"
"1","QTET","CVET",-0.37937131934128,0.711141387541022,137,-0.533468204758925,0.594573936092149,"SN"
"2","QTET","CVET",6.85194834790032,0.711141387541022,137,9.63514213621136,4.29901271800948e-17,"*"
"3","QTET","CVET",11.0315070779663,0.711141387541022,137,15.5123963690413,5.81885377317684e-32,"*"
"4","QTET","CVET",10.6159344991174,0.711141387541022,137,14.9280223104791,1.60813158381243e-30,"*"
"6","QTET","CVET",13.0904028914159,0.711141387541022,137,18.4075953400488,7.32111524789618e-39,"*"
"8","QTET","CVET",11.5745167067694,0.711141387541022,137,16.2759711494105,8.0249385031441e-34,"*"
"12","QTET","CVET",11.9972323234593,0.711141387541022,137,16.8703896772809,2.98940573485704e-35,"*"
"16","QTET","CVET",7.90575497379516,0.711141387541022,137,11.1169946121848,7.30986590845738e-21,"*"
"0","QTET","MBET",8.34452727840702e-14,0.711141387541022,137,1.17339918961272e-13,0.999999999999907,"SN"
"1","QTET","MBET",-33.2743566977428,0.711141387541022,137,-46.7900719613557,3.92998207324968e-86,"*"
"2","QTET","MBET",-36.0115548874178,0.711141387541022,137,-50.6390930387813,1.40070859717522e-90,"*"
"3","QTET","MBET",-21.1099942898865,0.711141387541022,137,-29.6846656090155,1.55983090315444e-61,"*"
"4","QTET","MBET",-8.76444546632904,0.711141387541022,137,-12.3244767072757,5.94995771991954e-24,"*"
"6","QTET","MBET",2.37602401512635,0.711141387541022,137,3.34114151806317,0.00107549408136311,"*"
"8","QTET","MBET",1.02643045134205,0.711141387541022,137,1.44335636952763,0.151202814582531,"*"
"12","QTET","MBET",2.97857836381556,0.711141387541022,137,4.18844749581354,5.0006083629592e-05,"*"
"16","QTET","MBET",4.20554230675056,0.711141387541022,137,5.91379208189871,2.53223876085842e-08,"*"
"0","QTET","MRET",2.9963411774679e-14,0.711141387541022,137,4.21342538904762e-14,0.999999999999966,"SN"
"1","QTET","MRET",-55.1706942809101,0.711141387541022,137,-77.580485747959,4.33814226112074e-115,"*"
"2","QTET","MRET",-53.7728088176766,0.711141387541022,137,-75.6147930070723,1.34793367599947e-113,"*"
"3","QTET","MRET",-19.8634105766097,0.711141387541022,137,-27.9317318955282,2.01621629802644e-58,"*"
"4","QTET","MRET",-4.5332983414303,0.711141387541022,137,-6.37467938282357,2.60329280673201e-09,"*"
"6","QTET","MRET",6.14397854870499,0.711141387541022,137,8.63960199243863,1.30336479813066e-14,"*"
"8","QTET","MRET",5.28229353264097,0.711141387541022,137,7.42790902791642,1.06813686521808e-11,"*"
"12","QTET","MRET",7.62567629396684,0.711141387541022,137,10.7231507370635,7.42309342694012e-20,"*"
"16","QTET","MRET",11.26398159369,0.711141387541022,137,15.8392997384647,9.22651635722647e-33,"*"
"0","QTET","PPET",6.41330258353718e-15,0.711141387541022,137,9.0183227919177e-15,0.999999999999993,"SN"
"1","QTET","PPET",-57.3908578308469,0.711141387541022,137,-80.7024578182581,2.18688000938394e-117,"*"
"2","QTET","PPET",-78.0336874196526,0.711141387541022,137,-109.730201035657,2.18426191467295e-135,"*"
"3","QTET","PPET",-66.2490143774794,0.711141387541022,137,-93.1587101217026,8.95218622035467e-126,"*"
"4","QTET","PPET",-41.4447171229141,0.711141387541022,137,-58.2791521475374,1.42855946575583e-98,"*"
"6","QTET","PPET",1.59453123818538,0.711141387541022,137,2.24221408867642,0.0265545943095756,"*"
"8","QTET","PPET",6.99485995643621,0.711141387541022,137,9.83610302955784,1.33668920377844e-17,"*"
